iter	MultiClass
0	1.767794355
1	1.573880218
2	1.434887393
3	1.323197039
4	1.237238529
5	1.165883485
6	1.106933533
7	1.055786968
8	1.011386968
9	0.9743947945
10	0.9422659659
11	0.9129630048
12	0.8879854441
13	0.8663253841
14	0.8467728689
15	0.8297804974
16	0.8140587578
17	0.7979662912
18	0.7866957014
19	0.7766122574
20	0.7663988694
21	0.7574436994
22	0.7490272938
23	0.7420424941
24	0.7353198232
25	0.7293717135
26	0.7232928748
27	0.7172097899
28	0.7123877062
29	0.7074128924
30	0.7023481693
31	0.6986316768
32	0.6954023947
33	0.6930631081
34	0.6897077812
35	0.6865994424
36	0.6842116683
37	0.6812532141
38	0.6783587651
39	0.6762793975
40	0.6744727114
41	0.6725384577
42	0.6708393872
43	0.6694794022
44	0.6677975169
45	0.666510299
46	0.6653686069
47	0.6639656938
48	0.6626854732
49	0.6615603917
50	0.6603445011
51	0.6593885116
52	0.6585210598
53	0.6575720199
54	0.6567772626
55	0.6560320559
56	0.6553519253
57	0.654639633
58	0.6535772765
59	0.6528028792
60	0.65193869
61	0.6512969205
62	0.6506690797
63	0.6499391973
64	0.6491769371
65	0.6483972749
66	0.6477251659
67	0.6473007749
68	0.6469232098
69	0.6462640462
70	0.645742159
71	0.6454269269
72	0.6447395649
73	0.6443229009
74	0.6435842666
75	0.6431820455
76	0.6425108636
77	0.6422675171
78	0.6418090158
79	0.6415296305
80	0.6409523499
81	0.6405888629
82	0.640102306
83	0.6397897049
84	0.6393862104
85	0.6391957202
86	0.6386278342
87	0.6382231521
88	0.6377630981
89	0.6373147453
90	0.6369836322
91	0.6365207001
92	0.6361599223
93	0.6357817515
94	0.6355406788
95	0.6351482083
96	0.6347401707
97	0.6345178697
98	0.634159798
99	0.6338290573
100	0.6336100889
101	0.6333558648
102	0.6330663715
103	0.6326923154
104	0.6323950087
105	0.6321429262
106	0.6318467201
107	0.6316414008
108	0.6313825327
109	0.6310874676
110	0.6307178676
111	0.6304549652
112	0.6300018131
113	0.6297444618
114	0.6295359077
115	0.6292213336
116	0.6288696058
117	0.628514406
118	0.6283637014
119	0.6281092405
120	0.6279074307
121	0.6277350619
122	0.6275571385
123	0.6272679134
124	0.6269169023
125	0.6266470786
126	0.6264838304
127	0.6262775449
128	0.6260489962
129	0.625825736
130	0.6256248874
131	0.6253086702
132	0.6250424471
133	0.6247646219
134	0.6245625045
135	0.6243215454
136	0.6240631728
137	0.6239152212
138	0.6236760515
139	0.6234785523
140	0.6233035594
141	0.6231521687
142	0.6230157009
143	0.622824716
144	0.6225763013
145	0.6223533764
146	0.6220411631
147	0.6218478607
148	0.6215964648
149	0.6214005515
150	0.6212002861
151	0.6210700047
152	0.620869847
153	0.620682829
154	0.620514811
155	0.6202786289
156	0.6200903687
157	0.6198906304
158	0.6196409046
159	0.6194262636
160	0.6192673905
161	0.61899002
162	0.6188020971
163	0.6186495374
164	0.6184486008
165	0.6182898567
166	0.6181538685
167	0.6180557443
168	0.6178442299
169	0.6176712375
170	0.6174608794
171	0.6171795596
172	0.6169167892
173	0.6166866838
174	0.6165061011
175	0.6163893495
176	0.6162030725
177	0.6159301984
178	0.6157320323
179	0.6155278942
180	0.6152944734
181	0.6151412512
182	0.6148607691
183	0.6146821348
184	0.6144977456
185	0.6143390237
186	0.6142173119
187	0.6140675837
188	0.6139055384
189	0.6136684717
190	0.6134496621
191	0.6132563971
192	0.6130802808
193	0.6129193328
194	0.6127808072
195	0.6125555431
196	0.612419355
197	0.6122364104
198	0.6120997617
199	0.6119345938
200	0.6116942714
201	0.6115862209
202	0.6114539903
203	0.6113153356
204	0.6111856058
205	0.6109977748
206	0.6107601673
207	0.6106176301
208	0.6104157142
209	0.6102468302
210	0.6101092569
211	0.6098440175
212	0.6096521289
213	0.6094736849
214	0.6093517905
215	0.6092268645
216	0.6090459313
217	0.608949668
218	0.6088720863
219	0.6086876343
220	0.6085253833
221	0.6083960158
222	0.6082025331
223	0.6080100601
224	0.6078837891
225	0.60774815
226	0.6075958341
227	0.6074753996
228	0.6073516728
229	0.6072455974
230	0.6070516867
231	0.606888611
232	0.6067438263
233	0.6066301949
234	0.6064405033
235	0.6062673762
236	0.6060807435
237	0.6059556476
238	0.6058029886
239	0.6057089408
240	0.6055740993
241	0.6054695517
242	0.6054002989
243	0.60530571
244	0.6052099951
245	0.6050246436
246	0.6048782643
247	0.604669188
248	0.6045798776
249	0.6043822462
250	0.6042154009
251	0.6041384424
252	0.6040092355
253	0.6038812665
254	0.6036831066
255	0.6035757837
256	0.6034373323
257	0.6032711311
258	0.6031460468
259	0.6030644876
260	0.6028881647
261	0.6027664496
262	0.6026293873
263	0.6024967183
264	0.6023822532
265	0.6022466834
266	0.6020922676
267	0.6019487917
268	0.601772026
269	0.6015683762
270	0.6014302855
271	0.6012406128
272	0.6011366673
273	0.6009822143
274	0.6008070251
275	0.6006575786
276	0.6005439546
277	0.6004273132
278	0.6002313025
279	0.6000818223
280	0.5999581443
281	0.5998639716
282	0.5997510428
283	0.59958554
284	0.5994632937
285	0.5993193978
286	0.5992152063
287	0.5990854665
288	0.5989686514
289	0.5988342636
290	0.5986501552
291	0.5984932269
292	0.5982968848
293	0.5980945516
294	0.5979928598
295	0.5978652805
296	0.5977349553
297	0.5976185915
298	0.5975105856
299	0.5973733219
300	0.5972529425
301	0.597127555
302	0.596982526
303	0.5968518715
304	0.5967640077
305	0.5966935819
306	0.5965366668
307	0.5964570294
308	0.5963609993
309	0.5962234586
310	0.5961124568
311	0.5959579897
312	0.5958809782
313	0.5958082472
314	0.5957120049
315	0.5955582785
316	0.5953659229
317	0.5952942635
318	0.5951502485
319	0.59501199
320	0.5948076603
321	0.5947141752
322	0.594632451
323	0.594466323
324	0.5943605967
325	0.5942462895
326	0.5941827869
327	0.5940469562
328	0.5939332935
329	0.5938748008
330	0.5937045449
331	0.593615967
332	0.5935033897
333	0.5933951352
334	0.5932362183
335	0.5930913204
336	0.5929469564
337	0.5928171125
338	0.5926877304
339	0.5925891972
340	0.5924771391
341	0.5923554629
342	0.5921727822
343	0.5920667897
344	0.5919848628
345	0.5918686368
346	0.5918255711
347	0.5916803859
348	0.5915508317
349	0.5914774387
350	0.5914219098
351	0.5913371643
352	0.5912647715
353	0.5911214525
354	0.5910156804
355	0.5908750627
356	0.5908054958
357	0.5906726167
358	0.5905768304
359	0.5904628461
360	0.5902721195
361	0.5901772312
362	0.5900511437
363	0.5899457149
364	0.5898454601
365	0.589739128
366	0.5896393061
367	0.589516211
368	0.5893691774
369	0.5892125006
370	0.5890971734
371	0.5889540375
372	0.5888327326
373	0.5887010831
374	0.5885074541
375	0.5883878947
376	0.5883062378
377	0.5881689065
378	0.588103252
379	0.587994266
380	0.5878260838
381	0.5877573402
382	0.5876015118
383	0.587495836
384	0.5873203934
385	0.587238301
386	0.5871593201
387	0.5870154661
388	0.5869352063
389	0.5868188986
390	0.5867231984
391	0.5865937094
392	0.5864877965
393	0.5863789686
394	0.5862443869
395	0.5861198504
