,label
0,1
1,1
2,1
3,7
4,1
5,7
6,1
7,1
8,1
9,1
10,7
11,7
12,7
13,7
14,1
15,7
16,1
17,1
18,1
19,1
20,7
21,7
22,1
23,1
24,7
25,1
26,7
27,1
28,1
29,1
30,7
31,1
32,1
33,7
34,7
35,1
36,7
37,1
38,1
39,1
40,1
41,1
42,1
43,7
44,1
45,1
46,1
47,1
48,7
49,1
50,1
51,7
52,1
53,1
54,7
55,7
56,1
57,1
58,1
59,1
60,1
61,1
62,7
63,7
64,1
65,7
66,1
67,1
68,1
69,1
70,7
71,1
72,1
73,1
74,7
75,1
76,1
77,1
78,1
79,7
80,1
81,1
82,1
83,1
84,1
85,7
86,2
87,7
88,1
89,1
90,1
91,1
92,1
93,1
94,7
95,1
96,1
97,7
98,1
99,1
100,1
101,1
102,1
103,1
104,7
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,7
113,1
114,1
115,1
116,1
117,1
118,1
119,7
120,1
121,1
122,7
123,1
124,1
125,7
126,7
127,1
128,7
129,1
130,1
131,1
132,1
133,7
134,1
135,1
136,1
137,1
138,1
139,7
140,1
141,7
142,7
143,7
144,7
145,1
146,7
147,7
148,1
149,1
150,1
151,1
152,2
153,1
154,1
155,1
156,1
157,1
158,1
159,7
160,1
161,1
162,1
163,7
164,1
165,1
166,1
167,1
168,7
169,1
170,1
171,1
172,1
173,7
174,7
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,7
185,7
186,1
187,1
188,7
189,1
190,1
191,7
192,1
193,7
194,1
195,7
196,1
197,1
198,1
199,1
200,1
201,1
202,7
203,7
204,1
205,1
206,7
207,1
208,1
209,1
210,1
211,7
212,1
213,7
214,7
215,7
216,1
217,1
218,1
219,7
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,7
232,7
233,1
234,1
235,7
236,1
237,7
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,7
249,1
250,7
251,1
252,1
253,1
254,1
255,1
256,7
257,1
258,1
259,1
260,7
261,7
262,7
263,1
264,7
265,1
266,1
267,1
268,1
269,7
270,7
271,1
272,1
273,1
274,1
275,1
276,1
277,7
278,1
279,7
280,1
281,7
282,1
283,7
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,7
294,1
295,1
296,1
297,7
298,1
299,1
300,1
301,7
302,1
303,1
304,7
305,1
306,7
307,7
308,1
309,7
310,1
311,1
312,7
313,1
314,1
315,1
316,1
317,1
318,1
319,7
320,1
321,1
322,1
323,1
324,1
325,7
326,7
327,7
328,1
329,1
330,1
331,1
332,7
333,7
334,1
335,1
336,1
337,1
338,7
339,1
340,7
341,1
342,7
343,1
344,7
345,7
346,1
347,1
348,1
349,1
350,1
351,7
352,1
353,1
354,1
355,1
356,1
357,1
358,7
359,7
360,1
361,1
362,1
363,1
364,1
365,1
366,7
367,7
368,1
369,1
370,1
371,7
372,1
373,7
374,1
375,1
376,1
377,1
378,7
379,1
380,1
381,1
382,1
383,1
384,7
385,7
386,1
387,7
388,7
389,1
390,1
391,1
392,7
393,7
394,1
395,1
396,7
397,1
398,1
399,1
400,1
401,1
402,7
403,7
404,1
405,7
406,1
407,7
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,7
416,1
417,7
418,1
419,7
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,7
431,7
432,1
433,1
434,1
435,1
436,7
437,1
438,7
439,1
440,7
441,1
442,1
443,1
444,1
445,7
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,7
458,7
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,7
480,1
481,1
482,7
483,7
484,1
485,1
486,1
487,1
488,1
489,7
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,7
501,1
502,1
503,1
504,1
505,7
506,1
507,7
508,1
509,1
510,1
511,7
512,1
513,1
514,7
515,1
516,7
517,7
518,1
519,1
520,1
521,7
522,1
523,1
524,1
525,7
526,1
527,7
528,1
529,7
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,7
538,7
539,1
540,1
541,7
542,7
543,1
544,1
545,1
546,7
547,7
548,1
549,1
550,1
551,7
552,7
553,7
554,1
555,7
556,1
557,7
558,1
559,7
560,1
561,7
562,1
563,1
564,1
565,7
566,1
567,1
568,1
569,7
570,1
571,1
572,7
573,7
574,1
575,1
576,7
577,1
578,1
579,1
580,7
581,1
582,1
583,1
584,1
585,7
586,1
587,1
588,1
589,7
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,7
600,1
601,7
602,1
603,1
604,1
605,1
606,7
607,1
608,1
609,1
610,1
611,1
612,1
613,7
614,7
615,7
616,1
617,1
618,1
619,1
620,1
621,1
622,7
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,7
637,1
638,1
639,1
640,7
641,7
642,7
643,7
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,7
655,2
656,7
657,1
658,1
659,7
660,7
661,1
662,1
663,1
664,1
665,1
666,1
667,7
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,7
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,7
685,1
686,1
687,1
688,1
689,0
690,1
691,1
692,1
693,7
694,7
695,1
696,1
697,7
698,1
699,1
700,1
701,7
702,1
703,1
704,1
705,7
706,7
707,1
708,1
709,2
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,7
720,7
721,1
722,1
723,1
724,7
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,7
740,1
741,7
742,1
743,1
744,1
745,7
746,1
747,1
748,1
749,7
750,7
751,1
752,1
753,1
754,1
755,7
756,1
757,1
758,1
759,7
760,1
761,1
762,7
763,7
764,1
765,1
766,1
767,7
768,1
769,1
770,1
771,1
772,1
773,1
774,7
775,1
776,7
777,1
778,1
779,1
780,7
781,1
782,7
783,7
784,1
785,7
786,1
787,1
788,1
789,7
790,1
791,7
792,1
793,1
794,1
795,7
796,1
797,1
798,1
799,7
800,1
801,1
802,1
803,7
804,1
805,1
806,1
807,1
808,7
809,1
810,1
811,1
812,1
