,label
0,0
1,0
2,7
3,5
4,0
5,5
6,0
7,0
8,0
9,0
10,5
11,0
12,5
13,5
14,0
15,7
16,0
17,7
18,0
19,5
20,5
21,5
22,5
23,5
24,0
25,0
26,5
27,5
28,7
29,0
30,5
31,5
32,0
33,6
34,0
35,7
36,5
37,0
38,0
39,0
40,0
41,0
42,0
43,5
44,0
45,0
46,7
47,5
48,5
49,0
50,7
51,5
52,0
53,0
54,5
55,7
56,0
57,5
58,0
59,0
60,5
61,0
62,5
63,5
64,5
65,7
66,0
67,0
68,7
69,0
70,5
71,0
72,0
73,5
74,5
75,5
76,6
77,0
78,0
79,7
80,0
81,7
82,5
83,0
84,0
85,5
86,7
87,7
88,0
89,5
90,0
91,7
92,0
93,0
94,5
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,5
103,0
104,5
105,0
106,0
107,5
108,5
109,5
110,0
111,0
112,5
113,0
114,0
115,5
116,0
117,0
118,0
119,0
120,0
121,5
122,5
123,0
124,0
125,6
126,6
127,0
128,5
129,0
130,5
131,0
132,3
133,6
134,5
135,0
136,0
137,5
138,0
139,5
140,0
141,5
142,7
143,0
144,0
145,5
146,7
147,6
148,0
149,0
150,0
151,7
152,7
153,0
154,0
155,0
156,0
157,5
158,7
159,5
160,0
161,0
162,0
163,7
164,5
165,7
166,0
167,5
168,5
169,0
170,0
171,5
172,0
173,5
174,5
175,5
176,7
177,5
178,5
179,5
180,5
181,0
182,5
183,0
184,5
185,7
186,0
187,0
188,5
189,0
190,0
191,5
192,6
193,7
194,7
195,5
196,0
197,5
198,0
199,7
200,5
201,5
202,5
203,5
204,0
205,5
206,5
207,0
208,0
209,7
210,7
211,5
212,7
213,5
214,7
215,5
216,0
217,5
218,0
219,5
220,7
221,0
222,5
223,5
224,0
225,5
226,0
227,6
228,0
229,5
230,0
231,5
232,0
233,5
234,7
235,5
236,5
237,5
238,7
239,5
240,5
241,0
242,5
243,0
244,7
245,0
246,5
247,0
248,5
249,5
250,5
251,7
252,0
253,5
254,5
255,0
256,5
257,0
258,0
259,5
260,5
261,0
262,0
263,5
264,7
265,7
266,0
267,5
268,0
269,5
270,5
271,0
272,5
273,0
274,0
275,7
276,0
277,5
278,0
279,5
280,7
281,5
282,0
283,0
284,0
285,0
286,5
287,0
288,0
289,0
290,7
291,0
292,0
293,7
294,0
295,0
296,0
297,5
298,5
299,5
300,0
301,5
302,5
303,7
304,0
305,5
306,5
307,5
308,0
309,7
310,7
311,0
312,0
313,0
314,5
315,0
316,0
317,7
318,5
319,5
320,0
321,0
322,0
323,0
324,0
325,5
326,5
327,5
328,5
329,0
330,0
331,0
332,5
333,5
334,5
335,5
336,0
337,0
338,0
339,0
340,5
341,7
342,7
343,0
344,5
345,5
346,5
347,7
348,0
349,0
350,7
351,5
352,0
353,5
354,0
355,0
356,5
357,7
358,7
359,0
360,7
361,5
362,0
363,0
364,0
365,0
366,5
367,5
368,0
369,5
370,0
371,5
372,0
373,5
374,0
375,0
376,5
377,5
378,5
379,7
380,5
381,0
382,5
383,0
384,7
385,5
386,0
387,6
388,7
389,0
390,0
391,7
392,7
393,5
394,0
395,0
396,5
397,0
398,0
399,0
400,0
401,6
402,5
403,7
404,5
405,5
406,7
407,5
408,0
409,0
410,5
411,7
412,6
413,5
414,5
415,7
416,7
417,5
418,0
419,5
420,0
421,7
422,0
423,0
424,7
425,0
426,0
427,5
428,7
429,0
430,7
431,7
432,5
433,5
434,0
435,0
436,0
437,5
438,7
439,5
440,5
441,5
442,0
443,7
444,0
445,5
446,0
447,7
448,0
449,0
450,5
451,0
452,6
453,0
454,7
455,0
456,0
457,5
458,0
459,5
460,0
461,5
462,7
463,0
464,5
465,0
466,5
467,0
468,0
469,0
470,5
471,0
472,0
473,0
474,0
475,7
476,0
477,0
478,0
479,5
480,7
481,0
482,7
483,0
484,0
485,0
486,5
487,0
488,0
489,5
490,7
491,5
492,7
493,0
494,0
495,0
496,0
497,0
498,0
499,5
500,7
501,0
502,7
503,7
504,0
505,6
506,0
507,0
508,5
509,5
510,7
511,5
512,5
513,0
514,5
515,0
516,7
517,5
518,0
519,0
520,0
521,7
522,0
523,0
524,0
525,0
526,5
527,5
528,7
529,1
530,0
531,5
532,0
